Week,Year,Date
1,2014,2013-12-28
2,2014,2014-01-04
3,2014,2014-01-11
4,2014,2014-01-18
5,2014,2014-01-25
6,2014,2014-02-01
7,2014,2014-02-08
8,2014,2014-02-15
9,2014,2014-02-22
10,2014,2014-03-01
11,2014,2014-03-08
12,2014,2014-03-15
13,2014,2014-03-22
14,2014,2014-03-29
15,2014,2014-04-05
16,2014,2014-04-12
17,2014,2014-04-19
18,2014,2014-04-26
19,2014,2014-05-03
20,2014,2014-05-10
21,2014,2014-05-17
22,2014,2014-05-24
23,2014,2014-05-31
24,2014,2014-06-07
25,2014,2014-06-14
26,2014,2014-06-21
27,2014,2014-06-28
28,2014,2014-07-05
29,2014,2014-07-12
30,2014,2014-07-19
31,2014,2014-07-26
32,2014,2014-08-02
33,2014,2014-08-09
34,2014,2014-08-16
35,2014,2014-08-23
36,2014,2014-08-30
37,2014,2014-09-06
38,2014,2014-09-13
39,2014,2014-09-20
40,2014,2014-09-27
41,2014,2014-10-04
42,2014,2014-10-11
43,2014,2014-10-18
44,2014,2014-10-25
45,2014,2014-11-01
46,2014,2014-11-08
47,2014,2014-11-15
48,2014,2014-11-22
49,2014,2014-11-29
50,2014,2014-12-06
51,2014,2014-12-13
52,2014,2014-12-20
53,2014,2014-12-27
1,2015,2015-01-03
2,2015,2015-01-10
3,2015,2015-01-17
4,2015,2015-01-24
5,2015,2015-01-31
6,2015,2015-02-07
7,2015,2015-02-14
8,2015,2015-02-21
9,2015,2015-02-28
10,2015,2015-03-07
11,2015,2015-03-14
12,2015,2015-03-21
13,2015,2015-03-28
14,2015,2015-04-04
15,2015,2015-04-11
16,2015,2015-04-18
17,2015,2015-04-25
18,2015,2015-05-02
19,2015,2015-05-09
20,2015,2015-05-16
21,2015,2015-05-23
22,2015,2015-05-30
23,2015,2015-06-06
24,2015,2015-06-13
25,2015,2015-06-20
26,2015,2015-06-27
27,2015,2015-07-04
28,2015,2015-07-11
29,2015,2015-07-18
30,2015,2015-07-25
31,2015,2015-08-01
32,2015,2015-08-08
33,2015,2015-08-15
34,2015,2015-08-22
35,2015,2015-08-29
36,2015,2015-09-05
37,2015,2015-09-12
38,2015,2015-09-19
39,2015,2015-09-26
40,2015,2015-10-03
41,2015,2015-10-10
42,2015,2015-10-17
43,2015,2015-10-24
44,2015,2015-10-31
45,2015,2015-11-07
46,2015,2015-11-14
47,2015,2015-11-21
48,2015,2015-11-28
49,2015,2015-12-05
50,2015,2015-12-12
51,2015,2015-12-19
52,2015,2015-12-26
1,2016,2016-01-02
2,2016,2016-01-09
3,2016,2016-01-16
4,2016,2016-01-23
5,2016,2016-01-30
6,2016,2016-02-06
7,2016,2016-02-13
8,2016,2016-02-20
9,2016,2016-02-27
10,2016,2016-03-05
11,2016,2016-03-12
12,2016,2016-03-19
13,2016,2016-03-26
14,2016,2016-04-02
15,2016,2016-04-09
16,2016,2016-04-16
17,2016,2016-04-23
18,2016,2016-04-30
19,2016,2016-05-07
20,2016,2016-05-14
21,2016,2016-05-21
22,2016,2016-05-28
23,2016,2016-06-04
24,2016,2016-06-11
25,2016,2016-06-18
26,2016,2016-06-25
27,2016,2016-07-02
28,2016,2016-07-09
29,2016,2016-07-16
30,2016,2016-07-23
31,2016,2016-07-30
32,2016,2016-08-06
33,2016,2016-08-13
34,2016,2016-08-20
35,2016,2016-08-27
36,2016,2016-09-03
37,2016,2016-09-10
38,2016,2016-09-17
39,2016,2016-09-24
40,2016,2016-10-01
41,2016,2016-10-08
42,2016,2016-10-15
43,2016,2016-10-22
44,2016,2016-10-29
45,2016,2016-11-05
46,2016,2016-11-12
47,2016,2016-11-19
48,2016,2016-11-26
49,2016,2016-12-03
50,2016,2016-12-10
51,2016,2016-12-17
52,2016,2016-12-24
1,2017,2016-12-31
2,2017,2017-01-07
3,2017,2017-01-14
4,2017,2017-01-21
5,2017,2017-01-28
6,2017,2017-02-04
7,2017,2017-02-11
8,2017,2017-02-18
9,2017,2017-02-25
10,2017,2017-03-04
11,2017,2017-03-11
12,2017,2017-03-18
13,2017,2017-03-25
14,2017,2017-04-01
15,2017,2017-04-08
16,2017,2017-04-15
17,2017,2017-04-22
18,2017,2017-04-29
19,2017,2017-05-06
20,2017,2017-05-13
21,2017,2017-05-20
22,2017,2017-05-27
23,2017,2017-06-03
24,2017,2017-06-10
25,2017,2017-06-17
26,2017,2017-06-24
27,2017,2017-07-01
28,2017,2017-07-08
29,2017,2017-07-15
30,2017,2017-07-22
31,2017,2017-07-29
32,2017,2017-08-05
33,2017,2017-08-12
34,2017,2017-08-19
35,2017,2017-08-26
36,2017,2017-09-02
37,2017,2017-09-09
38,2017,2017-09-16
39,2017,2017-09-23
40,2017,2017-09-30
41,2017,2017-10-07
42,2017,2017-10-14
43,2017,2017-10-21
44,2017,2017-10-28
45,2017,2017-11-04
46,2017,2017-11-11
47,2017,2017-11-18
48,2017,2017-11-25
49,2017,2017-12-02
50,2017,2017-12-09
51,2017,2017-12-16
52,2017,2017-12-23
1,2018,2017-12-30
2,2018,2018-01-06
3,2018,2018-01-13
4,2018,2018-01-20
5,2018,2018-01-27
6,2018,2018-02-03
7,2018,2018-02-10
8,2018,2018-02-17
9,2018,2018-02-24
10,2018,2018-03-03
11,2018,2018-03-10
12,2018,2018-03-17
13,2018,2018-03-24
14,2018,2018-03-31
15,2018,2018-04-07
16,2018,2018-04-14
17,2018,2018-04-21
18,2018,2018-04-28
19,2018,2018-05-05
20,2018,2018-05-12
21,2018,2018-05-19
22,2018,2018-05-26
23,2018,2018-06-02
24,2018,2018-06-09
25,2018,2018-06-16
26,2018,2018-06-23
27,2018,2018-06-30
28,2018,2018-07-07
29,2018,2018-07-14
30,2018,2018-07-21
31,2018,2018-07-28
32,2018,2018-08-04
33,2018,2018-08-11
34,2018,2018-08-18
35,2018,2018-08-25
36,2018,2018-09-01
37,2018,2018-09-08
38,2018,2018-09-15
39,2018,2018-09-22
40,2018,2018-09-29
41,2018,2018-10-06
42,2018,2018-10-13
43,2018,2018-10-20
44,2018,2018-10-27
45,2018,2018-11-03
46,2018,2018-11-10
47,2018,2018-11-17
48,2018,2018-11-24
49,2018,2018-12-01
50,2018,2018-12-08
51,2018,2018-12-15
52,2018,2018-12-22
1,2019,2018-12-29
2,2019,2019-01-05
3,2019,2019-01-12
4,2019,2019-01-19
5,2019,2019-01-26
6,2019,2019-02-02
7,2019,2019-02-09
8,2019,2019-02-16
9,2019,2019-02-23
10,2019,2019-03-02
11,2019,2019-03-09
12,2019,2019-03-16
13,2019,2019-03-23
14,2019,2019-03-30
15,2019,2019-04-06
16,2019,2019-04-13
17,2019,2019-04-20
18,2019,2019-04-27
19,2019,2019-05-04
20,2019,2019-05-11
21,2019,2019-05-18
22,2019,2019-05-25
23,2019,2019-06-01
24,2019,2019-06-08
25,2019,2019-06-15
26,2019,2019-06-22
27,2019,2019-06-29
28,2019,2019-07-06
29,2019,2019-07-13
30,2019,2019-07-20
31,2019,2019-07-27
32,2019,2019-08-03
33,2019,2019-08-10
34,2019,2019-08-17
35,2019,2019-08-24
36,2019,2019-08-31
37,2019,2019-09-07
38,2019,2019-09-14
39,2019,2019-09-21
40,2019,2019-09-28
41,2019,2019-10-05
42,2019,2019-10-12
43,2019,2019-10-19
44,2019,2019-10-26
45,2019,2019-11-02
46,2019,2019-11-09
47,2019,2019-11-16
48,2019,2019-11-23
49,2019,2019-11-30
50,2019,2019-12-07
51,2019,2019-12-14
52,2019,2019-12-21
1,2020,2019-12-28
2,2020,2020-01-04
3,2020,2020-01-11
4,2020,2020-01-18
5,2020,2020-01-25
6,2020,2020-02-01
7,2020,2020-02-08
8,2020,2020-02-15
9,2020,2020-02-22
10,2020,2020-02-29
11,2020,2020-03-07
12,2020,2020-03-14
13,2020,2020-03-21
14,2020,2020-03-28
15,2020,2020-04-04
16,2020,2020-04-11
17,2020,2020-04-18
18,2020,2020-04-25
19,2020,2020-05-02
20,2020,2020-05-09
21,2020,2020-05-16
22,2020,2020-05-23
23,2020,2020-05-30
24,2020,2020-06-06
25,2020,2020-06-13
26,2020,2020-06-20
27,2020,2020-06-27
28,2020,2020-07-04
29,2020,2020-07-11
30,2020,2020-07-18
31,2020,2020-07-25
32,2020,2020-08-01
33,2020,2020-08-08
34,2020,2020-08-15
35,2020,2020-08-22
36,2020,2020-08-29
37,2020,2020-09-05
38,2020,2020-09-12
39,2020,2020-09-19
40,2020,2020-09-26
41,2020,2020-10-03
42,2020,2020-10-10
43,2020,2020-10-17
44,2020,2020-10-24
45,2020,2020-10-31
46,2020,2020-11-07
47,2020,2020-11-14
48,2020,2020-11-21
49,2020,2020-11-28
50,2020,2020-12-05
51,2020,2020-12-12
52,2020,2020-12-19