NTESTS,WEEK
1677,2014-07-01
1878,2014-07-08
1945,2014-07-15
1945,2014-07-22
1878,2014-07-29
1978,2014-08-05
1978,2014-08-12
2314,2014-08-19
2918,2014-08-26
2682,2014-09-02
3287,2014-09-09
3689,2014-09-16
3588,2014-09-23
3521,2014-09-30
3924,2014-10-07
4091,2014-10-14
3789,2014-10-21
3755,2014-10-28
4091,2014-11-04
4225,2014-11-11
4392,2014-11-18
4359,2014-11-25
5063,2014-12-02
5970,2014-12-09
6607,2014-12-16
6775,2014-12-23
7513,2014-12-30
7614,2015-01-06
7177,2015-01-13
7177,2015-01-20
7580,2015-01-27
7412,2015-02-03
6941,2015-02-10
6337,2015-02-17
5900,2015-02-24
5564,2015-03-03
5530,2015-03-10
5094,2015-03-17
4926,2015-03-24
5127,2015-03-31
4690,2015-04-07
4556,2015-04-14
4455,2015-04-21
4085,2015-04-28
4152,2015-05-05
4051,2015-05-12
3816,2015-05-19
3379,2015-05-26
2943,2015-06-02
3110,2015-06-09
2841,2015-06-16
2640,2015-06-23
2472,2015-06-30
2606,2015-07-07
2505,2015-07-14
2438,2015-07-21
2471,2015-07-28
2504,2015-08-04
2504,2015-08-11
2571,2015-08-18
2739,2015-08-25
2940,2015-09-01
3108,2015-09-08
3242,2015-09-15
3510,2015-09-22
3745,2015-09-29
3879,2015-10-06
4449,2015-10-13
4583,2015-10-20
4483,2015-10-27
4751,2015-11-03
5321,2015-11-10
5086,2015-11-17
4817,2015-11-24
5455,2015-12-01
5354,2015-12-08
5790,2015-12-15
5857,2015-12-22
6361,2015-12-29
6830,2016-01-05
6562,2016-01-12
6729,2016-01-19
7602,2016-01-26
7669,2016-02-02
8307,2016-02-09
8810,2016-02-16
9280,2016-02-23
9414,2016-03-01
9414,2016-03-08
9044,2016-03-15
8205,2016-03-22
7701,2016-03-29
6727,2016-04-05
6559,2016-04-12
6290,2016-04-19
5853,2016-04-26
5383,2016-05-03
5215,2016-05-10
4946,2016-05-17
4476,2016-05-24
2764,2016-05-31
3838,2016-06-07
3603,2016-06-14
3502,2016-06-21
3031,2016-06-28
3568,2016-07-05
3770,2016-07-12
3669,2016-07-19
3568,2016-07-26
3400,2016-08-02
3467,2016-08-09
3903,2016-08-16
3802,2016-08-23
4272,2016-08-30
4339,2016-09-06
5077,2016-09-13
5110,2016-09-20
5312,2016-09-27
5714,2016-10-04
5882,2016-10-11
6083,2016-10-18
6184,2016-10-25
6318,2016-11-01
6485,2016-11-08
6854,2016-11-15
6283,2016-11-22
7626,2016-11-29
7424,2016-12-06
8096,2016-12-13
8733,2016-12-20
10110,2016-12-27
10479,2017-01-03
10411,2017-01-10
10512,2017-01-17
10948,2017-01-24
11217,2017-01-31
11787,2017-02-07
11854,2017-02-14
11082,2017-02-21
10309,2017-02-28
10208,2017-03-07
9503,2017-03-14
8731,2017-03-21
8227,2017-03-28
8126,2017-04-04
7521,2017-04-11
7185,2017-04-18
7017,2017-04-25
6446,2017-05-02
6211,2017-05-09
6177,2017-05-16
5640,2017-05-23
4968,2017-05-30
4767,2017-06-06
4397,2017-06-13
3692,2017-06-20
2214,2017-06-27